,,,,TE A1 Corn Oil 10 ml/kg 48hrs,TE A3 Corn Oil 10ml/kg 48hrs,TE A2 Corn Oil 10 ml/kg 48hrs    ,	,TE B1 TCDD 10ug/kg 48hrs,TE B2 TCDD 10ug/kg 48hrs,TE B3 TCDD 10ug/kg 48hrs
33358,Cyp11a1,NM_019779,0,1.3698666729858,1.1468626255635,-1.5710488892525,,,-1.5655887791637,1.087212157125,-1.0759539889981
44308,Cyp11a1,NM_019779,0,1,1,1,,,-1.5243335205482,-1.8861490100247,-1.3291347111106
9772,Cyp11b2,NM_009991,0,-1.0662394163686,-1.5714216538476,1.6755117070674,,,2.2595183187465,1.125193634703,2.3880051918098
5020,Cyp17a1,NM_007809,0,-1.1382264321322,-1.1219969249838,1.2770865567876,,,-1.1841743961478,1.2095040678425,2.2459047483162
2779,Cyp19a1,NM_007810,0,-2.1445318468113,-1.4146418439097,3.0337444860961,,,1.0140573098142,1.9271587890313,2.7740788421194
21124,Cyp19a1,NM_007810,0,1.0108192406602,-1.021755537289,1.0108192406602,,,1.0108192406602,-1.1176033631254,1.274736730996
34474,Cyp1a1,NM_009992,0,-1.2825486070469,1.160840273024,1.1048450306654,,,238.33024896646,76.792563704602,108.59983531358
898,Cyp1a2,NM_009993,0,1.0486132313855,1.1393766982879,-1.194765481357,,,2.5816082087939,2.2557103556416,4.464279049823
38709,Cyp1a2,NM_009993,0,1.05386342749,1.215747354861,-1.2812316743557,,,5.1714024081684,4.9558520578436,5.896147417052
3771,Cyp1b1,NM_009994,0,-1.092243913599,1.5062649370328,-1.3790554639664,,,11.290608970358,10.275367576564,1.6563738545987
9856,Cyp1b1,AK016699,0,1.2023474869709,-1.3848508438997,1.1517891948097,,,2.8311103664994,1.4711603110658,1.650053402526
1378,Cyp20a1,NM_030013,0,-1.0215189635892,-1.1311826448107,1.1555245229571,,,1.1661036820496,1.2034891150823,-1.1355371140644
41711,Cyp21a1,NM_009995,0,-1.0732189521204,1.2052903145139,-1.1230609673195,,,-1.2928505762263,-1.1508966696133,-1.2866349173662
