,,,,TE A1 Corn Oil 10 ml/kg 48hrs,TE A3 Corn Oil 10ml/kg 48hrs,TE B1 TCDD 10ug/kg 48hrs,TE B2 TCDD 10ug/kg 48hrs,TE A2 Corn Oil 10 ml/kg 48hrs    ,TE B3 TCDD 10ug/kg 48hrs
220,Cyp2b9,NM_010000,0,-15.220537870232,-14.408872552165,-33.676736589975,-4.875329804274,-12.269023547838,-1.7150784893012
279,Cd207,NM_144943,0,-6.1580044726242,-4.4505019944757,-3.8176578234384,-2.9608335962073,-2.8129434408338,-1.8731907304764
898,Cyp1a2,NM_009993,0,2.4435655853874,2.6550701492197,6.0158777184483,5.2564434919106,1.9504103818998,10.403033571587
2263,Cnih2,NM_009920,0,-1.2051602532446,1.269050778916,8.1120944769592,9.1511568672219,1.5797886888863,3.2553673247164
2306,A_52_P1156957,A_52_P1156957,0,-54.554427173204,-14.803008891487,-16.065712837114,-7.142364335568,-12.425961394648,-1.8699930825331
2837,Plin4,NM_020568,0,-6.4116971395476,-3.3414733365541,-6.6652892345811,-2.2544260806912,-2.6105679387821,-1.0832632254607
3326,Vapb,NM_019806,0,-2.2043015193738,-6.5363003457956,-2.4591895234839,-2.9663473213402,-1.4764270723779,-4.9152657106352
3342,Ahrr,NM_009644,0,-2.3311488218003,-1.4790538968052,13.3168037627,5.0450096350834,-1.6034447499665,1.3646805441978
3514,Cyp26b1,NM_175475,0,-8.744661441788,-5.7671599955332,-14.005867065717,-4.6150881432342,-1.8738723370622,1.1356847654092
3771,Cyp1b1,NM_009994,0,1.4593282845415,2.4008996041001,17.996580774417,16.37834443332,1.1558218493612,2.6401645779406
4277,A930004D18Rik,NR_028376,0,-2.0142482732054,-1.4228299554559,3.8597750991746,6.7349131553455,1.4156536075135,6.7748705281964
4436,Dirc2,NM_153550,0,-2.4355441130198,-7.5396294129686,1.0636535649069,-1.3706671360777,-1.3466756268384,-2.1256560834129
7650,A_52_P471947,A_52_P471947,0,-6.4864936907996,-4.8408207331057,-2.7456678598805,-2.2116887048874,-2.298566114302,-1.7479016808492
7827,6030422H21Rik,,0,-11.058086937677,-6.1294005080033,-4.732035564612,-2.9287412223845,-6.4001624874408,-1.6576544353483
8055,Xist,NR_001463,0,-558.90758047393,-622.40059620826,-1190.5290580769,-195.67709849035,-103.94174414022,-9.9483258082408
8168,A_51_P290904,A_51_P290904,0,-3.5874098809457,-6.624818737723,-4.2375906335802,-3.2923803423202,-2.0585432691601,-1.2204317571523
9527,Acot3,NM_134246,0,-21.131970707042,-8.0418691059567,-10.050091135228,-4.0593827323306,-6.45004879335,-1.3669480191761
