TE A1 Corn Oil 10 ml/kg 48hrs	TE A3 Corn Oil 10ml/kg 48hrs	TE B1 TCDD 10ug/kg 48hrs	TE B2 TCDD 10ug/kg 48hrs	TE A2 Corn Oil 10 ml/kg 48hrs    	TE B3 TCDD 10ug/kg 48hrs
34474_Cyp1a1	0.417575468261021	-0.156606609736735	-7.8382679367069	-6.20432928579241	-0.0852811438055365	-6.70433165156333
44840_Slc46a3	-0.110729891938102	-0.475997267262177	-2.95501540216258	-2.9939681243793	-0.464178858959865	-3.23526702198511
25789_ENSMUST00000015595	0.139042970743424	0.192394516175219	-1.87375884670848	-1.97767678263045	-0.140936690300316	-2.36543882389326
45116_Chad	0.578947387005703	0.311093288439379	-3.07135725083036	-2.95952540322412	-0.348817832151216	-2.57153576205105
20445_Olfr114	0.511924366407712	0.558452554301767	-3.35662532822108	-2.77878387054067	0.183257876572467	-2.76149493928809
42290_Htatip2	0.203246889982003	-0.188071213518521	-2.12741969213876	-1.9120145174585	-0.299900814239031	-2.52966238537243
6075_Cml5	0.24019565279704	0.43332787555698	-2.40640202316781	-2.26678543211249	-0.00720376761862828	-1.86876205860874
33642_Pcp4l1	-0.0115455994720192	0.268808190962885	-1.61495756902131	-2.28808131422504	0.242805021767954	-2.16295052047502
23295_Htatip2	0.275882599661934	-0.0129063438061394	-1.71319175905535	-1.46853661517989	0.0631915515530005	-1.4414350737471
38077_Pla2g12a	-0.236918706830827	-0.130618936970954	-1.75219090355623	-1.87421031434279	-0.542681815610001	-1.96271274527575
14937_ENSMUST00000040670	0.363171814685313	0.524186308915662	-1.75087340461688	-2.11061983274653	-0.0439491560328352	-2.20026576334715
41212_TC1749865	-0.0411624280586023	-0.017697578041182	-1.55146000972381	-1.56956939742113	-0.461718098867284	-1.45527988742026
43293_Tcf4	0.0784371707806698	-0.0968583049197071	-1.13662317984393	-1.46330617096277	-0.235373246190024	-1.37221315699413
6021_Mat1a	0.495002528473376	-0.00264921378861589	1.67110190693927	1.77952129660179	0.397182263967677	1.53751765959109
16636_Heatr5a	-0.154137702715158	-0.456751759892649	-3.58857243317981	-3.55655961007644	-0.816864660139988	-2.1154561202294
39397_Nfe2l2	0.190975809348154	-0.0615479254787661	-1.14943464433435	-1.10347865058202	-0.221166579739503	-1.19703182968592
8107_Pla2g12a	-0.0695414760041629	0.0686752206350764	-1.16974101508826	-0.961843187292197	0.0900584200926652	-1.03383905352538
37078_Mfge8	-0.0358293100201195	-0.167735035535668	-1.00642478245981	-1.19843316379241	-0.138556277051399	-1.4806000249806
6377_Sdc4	-0.233408934564879	-0.142095971551443	-1.22605278980895	-1.06319129193109	-0.250143592182265	-1.34979012441523
2263_Cnih2	0.269225012514914	-0.343750260739819	-3.02007355942961	-3.19395329950185	-0.659730331397545	-1.70281901931188
20692_Dnajc1	0.0643570584960084	0.0359244835922308	-1.35507003612799	-1.40300896782206	-0.283037696632418	-0.951741567042386
14773_6330530A05Rik	0.0469701086392163	0.079892610226276	-0.944877869969798	-1.07050133522145	0.0824619258132294	-1.45779575597459
10678_Entpd2	-0.17339061183877	-0.181911294052987	-1.63295054772117	-1.13849355657752	-0.360300394851906	-1.24880770160733
