,,,,983-2 (replicate),983-1,V + X12,P2 + X12,P2 + X24,NE + X24
134,BF550822,BF550822,0,-1.5559083087687,-1.4543669607365,1.0951789807545,-6.3181218883478,-5.4072568564851,1.0897696282471
374,Spry1_predicted,XM_227050,0,7.9120313608172,-1.5213074778212,1.036509769881,3.1277425621354,1.6632594514585,1.1033083373087
441,XM_341175,XM_341175,0,2.5592929479919,-1.040186708352,-2.0800750271221,-3.8370106091204,-5.305117411036,-1.2635661995719
465,Dtnbp1,AY623025,0,-2.3543769649106,-1.4973764552551,-2.0381399417234,6.1302614899082,-1.1231325140336,-1.3866089529787
530,LOC689670,XM_001071600,0,-2.5264226137091,-1.5128295536041,-2.0822026746235,7.3334781103712,-1.1263747336457,-1.2797466459669
543,Alpl,NM_013059,0,-6.827441694391,-11.849499309762,1.2816900121668,-1.6344814648113,-1.4454364425017,-1.6232634125213
544,ENSRNOT00000012428,ENSRNOT00000012428,0,17.892045750248,1.9884560664761,1.0061592403117,-1.4343099130608,-1.2242152917594,-1.1519159718141
551,Ubd,NM_053299,0,1.1658900609054,7.2492487108482,-1.1921395603872,6.0974465220263,2.0728028637871,-2.6135090000431
561,Timp1,NM_053819,0,2.8168972122688,3.3175310784307,1.1237417076664,-1.2987602856098,-1.4451835183619,6.5263445788839
569,TC556784,TC556784,0,1.5620178770426,1.6865918601544,1.5527015981096,3.5705079138205,25.77329828184,-1.0032430504004
751,Cyp2e1,NM_031543,0,-1.1546735032468,-3.1652936025917,-1.1272096549414,-2.9925333564876,-1.543064216024,-9.7810842557234
858,M16829,M16829,0,1.6440272054811,1.3680658434954,-2.0085886302012,-6.202803167635,-5.8545969209433,-1.0401594043605
899,Il1f5_predicted,XM_231101,0,1.1882545884501,1.2233037301348,-1.8728802071815,-4.3067930148202,-5.4824792923929,1.0019630313468
966,Gal,NM_033237,0,-1.022272975339,-1.1848096970453,1.3542785504264,5.1628201928363,4.5027828158005,1.0264908914056
1004,Cklf,NM_139111,0,1.7323115459878,-1.0593586083085,1.1175892096424,-3.9173646503113,-6.1246743198581,1.5343025258505
1112,Tbc1d12_predicted,XM_220062,0,1.649586143928,1.05762303216,-1.9292344125111,-5.1502581733198,-3.7604082775752,-1.1160799339372
1115,LOC691487,XM_001078495,0,3.2853526984132,3.2240814139413,5.5401688359508,1.8863227387688,1.2603785400199,3.1887905916758
1464,Trpv2,NM_017207,0,1.6885036353154,1.1006929885132,-1.1029359685295,-4.966494970454,-5.3103604429174,1.2576097624294
1570,Rhoa,NM_057132,0,-2.2361400498138,-1.0147812401556,-7.0139554002658,-1.6954734757616,-1.3566536887163,-1.1395377058371
1572,Apobec1,NM_012907,0,5.5757590761904,1.0495888295644,1.4032110628735,-2.6302679918954,-2.7378963324003,2.5007426440544
1704,RGD1562186_predicted,XM_221409,0,-1.7507655807731,-1.1029580633049,-2.103768751531,-39.925466568498,-54.165156213608,2.0326144093573
1732,AI013214,AI013214,0,-2.5917075864878,-1.5007971627359,-2.4510377491497,5.2243227609583,-1.1751497161043,-1.33362276405
1772,Kntc2_predicted,XM_217489,0,-1.4725701744643,-5.3164777420393,-1.4794490046742,-1.0974284127002,1.3865195578776,1.0761841711011
1903,Gap43,NM_017195,0,-1.677104020227,-3.1536754694387,-1.2359351962463,-2.1242909553346,-6.4841940001903,1.1186774917867
1937,Adm,NM_012715,0,1.1889450962605,1.6502243838606,1.0247504082334,5.5114896983403,3.9006950571667,-1.1899146184713
1986,TC561929,TC561929,0,-2.6001535760835,-1.4905000673749,-2.2183547606176,6.889330189963,-1.2261268420579,-1.3829803197353
2000,RGD1563577_predicted,XM_344871,0,1.4460090132257,1.0210962235766,-1.5839811171429,-7.0889024485233,-4.3540358441077,-1.9275692966032
2107,Ube2c_predicted,XM_215924,0,-1.5562701945864,-6.3533385766555,-3.0258054445439,-2.2119688157033,-2.1570986150978,-1.2771355677358
2142,LOC686579,XM_001078152,0,-1.1299764698142,-1.0398406713125,1.0418785573189,3.6899883923945,6.0408770969907,-1.0947286900868
2159,A_44_P654629,A_44_P654629,0,-2.2765699552274,-1.4160448211063,-2.1630173349737,7.1738286640026,-1.2207574967652,-1.5374358367245
2177,Krt2-7,XM_217035,0,-6.2046744550033,-6.6081972821361,-1.8135185407207,-1.2461143577605,1.0221353302589,-3.2981621243604
2198,Tf,NM_001013110,0,-3.4228274008486,-7.6827729744874,1.1195484680111,-1.1601824723369,1.2096318126142,-1.2123583277526
2257,LOC682651,XM_001062488,0,-1.5027924343947,-1.3475131126534,1.922069113875,8.4084510447827,6.3604523001528,2.8639999100772
2264,Slc5a5,NM_052983,0,1.8804292586526,5.2013490594752,-2.7018174357119,-9.0128470280854,-6.1662055811536,1.1274572924718
2315,RGD1311975,NM_001008523,0,-1.2831250983417,-1.417578115571,-1.1179786244565,6.2218852905517,2.4749019622613,1.9971284571869
2335,RGD1560183_predicted,XM_224552,0,1.0144443554605,1.2233978135677,-1.2320385586696,-8.2232974560828,-3.8324367848552,-1.1482482706245
2374,Bnc2_predicted,XM_233123,0,-2.4751128221208,-1.5616043137062,-2.1299823269855,5.8827988655769,-1.1565278623893,-1.2621675198218
2428,CB544348,CB544348,0,1.1666078649552,-1.4503405848663,2.1256658724435,2.5435015112008,7.1559615767667,-1.1811471326511
2540,Mcsp,NM_031536,0,-2.5847170045128,-1.551632972973,-2.038820538978,6.1922573883051,-1.1379188717133,-1.2728200268971
2582,Svop,NM_134404,0,-2.6139001880627,-1.4771955816873,-2.1521869813207,6.4771208471987,-1.1916389770078,-1.3508993726539
2583,Spp1,NM_012881,0,1.0289036313553,2.13925718843,3.6569413905695,4.95151387094,4.6133138366567,15.824864497455
2668,Spp1,NM_012881,0,1.069712325782,2.1790991936939,3.6007170900474,5.2778373232678,4.5995887174321,15.815393427527
2680,Serpinb13_predicted,XM_222497,0,1.3718732881452,1.4305004540857,-2.202003475,-5.5195541706059,-9.4951537187201,-1.6741254554722
2709,Csf1r,X61479,0,-2.666183276467,-1.5151198917146,-2.1261798598625,5.2679664449617,-1.1059138575968,-1.2543548113958
2745,Cma1,NM_013092,0,-2.7507745650604,-5.1244233330739,-3.7174402766754,-1.3893510703952,-1.8794379847421,-2.1546959730523
2753,Il1f8_predicted,XM_342377,0,1.4597887083339,1.1944927001239,-1.8679661414881,-8.550903395775,-19.795204832084,-1.6850973669919
2766,TC566845,TC566845,0,-1.277953347749,-1.3206051908369,1.0375757190461,18.743470197306,16.75637225638,-1.4990910109659
2788,RGD1308559_predicted,XM_233587,0,-2.4874364841699,-1.4891347557879,-2.1436012419933,5.6634490783322,-1.1255756778016,-1.3145405879797
2822,RGD1562408_predicted,XM_576903,0,5.3525163181908,2.3082827177785,-1.6083442101813,-5.8637844842607,-10.516470308227,-2.4596085836772
2869,AF473849,AF473849,0,-2.9098459658568,-1.5281148635286,-2.2840415495437,5.4419556736472,-1.0157006491116,-1.2283719762336
2964,BF282856,BF282856,0,-2.7122704975867,-1.5991823946436,-2.2821542768789,5.2757717737405,-1.0765304041712,-1.2562723463888
2976,Gap43,NM_017195,0,-1.6574254377438,-3.243194538478,-1.2870991396255,-2.155216979969,-6.5932265681848,1.1330164100091
3085,BF286556,BF286556,0,-2.5423363090734,-1.4845984404616,-2.2126870800398,6.5945019345974,-1.2156005838541,-1.3646145576386
3118,MGC72614,NM_199105,0,1.2092221672792,1.0521980679288,-1.0704182377954,-5.3364813993068,-3.527727251494,1.2527785245773
3151,Ccl2,NM_031530,0,5.4843100598878,9.3996352227121,1.7067464177729,-5.6768183807089,-4.2282241265166,-1.2164173333517
3165,Slc17a6,NM_053427,0,-1.8264214542603,-2.3983248092832,-1.0402858709805,5.0784946584707,1.6708520659818,1.2550614784545
3167,AI059920,AI059920,0,-2.6176224094522,-1.4614837807221,-2.2354296141139,6.0678243438705,-1.1003891511887,-1.3451261013764
3214,LOC171161,NM_133622,0,-57.075536174973,-69.518437127825,-1.0794064279634,-1.8995161922078,-2.5822720824096,-1.8584975803188
3291,CF110144,CF110144,0,-1.6103489706126,-1.7174337771012,-1.5294067408248,-5.0958660076762,-4.0627210096901,-1.0868920195988
3326,Fkbp5,NM_001012174,0,1.6483217906675,1.5840504164337,3.3380819929267,6.8730420345402,7.3645802681271,1.1225820665325
3390,TC562387,TC562387,0,-1.0515385529143,-1.4404858615085,-1.7691106624373,-2.9784409892218,-6.2015178774269,-1.1697619755009
3409,Ttk_predicted,XM_236477,0,-1.6224039686286,-12.834530902795,-2.6416118249179,-7.2682858654674,-5.7430685485913,1.0998546619714
