Clone#,Gene Name,518:TE A1 Corn Oil 10 ml/kg 48hrs,519:TE A3 Corn Oil 10ml/kg 48hrs,538:TE A2 Corn Oil 10 ml/kg 48hrs    ,520:TE E1 Aroclor 1260 200mg/kg,521:TE E3 Aroclor 1260 200mg/kg,540:TE E2 Aroclor 1260 200mg/kg 48hrs,530:TE C2 Wy-14643 50mg/kg 48hrs,531:TE C1 Wy-14643 50mg/kg 48hrs,532:TE C3 Wy-14643 50mg/kg 48hrs,533:TE B1 TCDD 10ug/kg 48hrs,534:TE B2 TCDD 10ug/kg 48hrs,539:TE B3 TCDD 10ug/kg 48hrs
12,Ccr1,2.1279871445456,1.78089370994,-1.3967156519892,2.6527419176257,5.6641272287484,2.016108961291,4.4458315141032,-1.058423320009,-1.1615887574102,1,1.1604496449817,-1.1779718168076
30,AK039768,2.5266436808963,1,-1.1698656789422,11.943730627984,4.8197887094961,1,1,-1.1440989841747,1,1,2.2664179440898,-1.0963807457281
31,Syne1,2.9658419246319,3.5534810190757,-1.3613412366026,3.4754496410211,4.8409099051402,2.1957454930521,5.4207827212159,-1.072264678209,1.2308235578174,4.83079935898,2.1208599938078,-1.2210197817224
33,H2-M10.5,3.2096671693253,-2.2335053649598,-2.7046308658999,1.0263160011917,5.6632534731089,-1.2154805116643,1.499515640602,-1.2215147063438,-1.3136570473033,-1.9801906247271,-1.1451706267981,-1.5266588512204
49,Hao3,-63.629718220574,-53.746476730657,-13.069229969894,-1.4290058279876,-80.604632083522,-50.300233371425,-15.794286077386,-1.4438297959663,-13.632327156539,-120.04940170841,-10.33689250502,-2.6024416448123
58,2900092D14Rik,1,1,6.0389856829927,1,-2.2942672196974,2.4009051323821,1,-1.1210371373546,-1.1754817747581,1,1,1.0282061566755
68,Mtap1a,-1.8505933618367,-4.2062685805313,-5.2973418513401,-4.5306550749824,-1.3886826195465,-1.6919791227613,-3.852840229864,-2.7417761860205,-3.5119392919338,-3.6763681926372,-2.2954825729561,-2.6188582972768
116,BC031748,2.7976282193427,7.3271148667248,1.1834679469742,7.9542639814536,2.5219182240909,1.5133939727091,3.9799443541529,1.1284634572712,4.6080162294012,5.6134130506568,6.3498139409466,-1.0597838572377
124,Fdps,-5.1565472311067,-1.4021904341632,-4.2937524281444,-1.8927445310707,-1.7619598180872,-1.3096884574326,-1.7147704860562,-2.1178929271486,-2.4903420396514,-1.4970834178128,-1.1490882928795,-2.6506781613832
127,2810403D21Rik,-1.2239813487449,1.7689395825406,2.0771219731177,4.6181602622709,1.6823951201783,1.4430022225307,1.644511822498,-1.0378574329261,7.295414969886,2.1994343326231,2.4133982862208,1.0661737851952
182,BC106120,-1.6494911888494,-1.9862366901462,-5.0238076162905,-1.5314471007483,-1.6165457495276,-1.161699225995,1.0016759163431,-1.4058597591122,-1.4692544000774,1.0261921780337,-1.4084680506432,-1.6094963643274
192,NAP030421-1,-1.301568411745,-2.5488424997307,-3.3931651666621,-1.8137858103818,-2.0777773132397,-1.0325352807215,-1.5682236533972,-1.26632738843,-2.0061573810928,-5.1812911847128,-1.3649288079304,-1.4849950294753
