http://edge.oncology.wisc.edu/agilentarrayinfo.php?arrayid=
./agilentfeatureinfo.php?featurenum=
TE A1 Corn Oil 10 ml/kg 48hrs
TE A3 Corn Oil 10ml/kg 48hrs
TE A2 Corn Oil 10 ml/kg 48hrs
BLANK
TE E1 Aroclor 1260 200mg/kg
TE E3 Aroclor 1260 200mg/kg
TE E2 Aroclor 1260 200mg/kg 48hrs
BLANK
TE C2 Wy-14643 50mg/kg 48hrs
TE C1 Wy-14643 50mg/kg 48hrs
TE C3 Wy-14643 50mg/kg 48hrs
BLANK
TE B1 TCDD 10ug/kg 48hrs
TE B2 TCDD 10ug/kg 48hrs
TE B3 TCDD 10ug/kg 48hrs
518
519
538
-99
520
521
540
-99
530
531
532
-99
533
534
539
33358	 Cyp11a1 	NM_019779 	0	1.3698666729858	1.1468626255635	-1.5710488892525	-9999	1.6671558473644	1.3698666729858	-1.5361820989733	-9999	1.401441068121	1.1289855932009	1.4303298428814	-9999	-1.5655887791637	1.087212157125	-1.0759539889981
44308	 Cyp11a1 	NM_019779 	0	1	1	1	-9999	-3.3275684658888	1	1	-9999	-1.0928365208312	-1.2218474871616	1.2430065009019	-9999	-1.5243335205482	-1.8861490100247	-1.3291347111106
9772	 Cyp11b2 	NM_009991 	0	-1.0662394163686	-1.5714216538476	1.6755117070674	-9999	1.106305997179	1.815677060457	3.5705676564813	-9999	-1.0575666166452	1.595099087784	1.5513195538775	-9999	2.2595183187465	1.125193634703	2.3880051918098
5020	 Cyp17a1 	NM_007809 	0	-1.1382264321322	-1.1219969249838	1.2770865567876	-9999	1.044040469621	1.8878493439196	1.6099423817297	-9999	-1.0021175470148	2.0208744509628	1.0987536564423	-9999	-1.1841743961478	1.2095040678425	2.2459047483162
2779	 Cyp19a1 	NM_007810 	0	-2.1445318468113	-1.4146418439097	3.0337444860961	-9999	1.5261193538642	2.7375546639519	2.7501545468697	-9999	1.1652188454678	2.4952984682266	1.8320085660604	-9999	1.0140573098142	1.9271587890313	2.7740788421194
21124	 Cyp19a1 	NM_007810 	0	1.0108192406602	-1.021755537289	1.0108192406602	-9999	-2.7008315610437	1.0108192406602	1.0108192406602	-9999	1.0108192406602	1.0013611777063	-1.2391874317078	-9999	1.0108192406602	-1.1176033631254	1.274736730996
34474	 Cyp1a1 	NM_009992 	0	-1.2825486070469	1.160840273024	1.1048450306654	-9999	2.1238369225455	1.5210068385213	2.5839146643265	-9999	3.0105037094422	1.4289899244398	6.2547962435248	-9999	238.33024896646	76.792563704602	108.59983531358
898	 Cyp1a2 	NM_009993 	0	1.0486132313855	1.1393766982879	-1.194765481357	-9999	-1.4793013945588	-1.7187339936599	-1.1377652536601	-9999	-2.6415282927441	-1.3263363330929	-2.9016743230382	-9999	2.5816082087939	2.2557103556416	4.464279049823
38709	 Cyp1a2 	NM_009993 	0	1.05386342749	1.215747354861	-1.2812316743557	-9999	-1.6067661235919	-1.8924641739593	-1.340363727761	-9999	-3.521345729542	-1.900516597287	-3.3666166478266	-9999	5.1714024081684	4.9558520578436	5.896147417052
3771	 Cyp1b1 	NM_009994 	0	-1.092243913599	1.5062649370328	-1.3790554639664	-9999	1.9663434083633	-2.9509553157556	-2.6556120666111	-9999	2.3098212191282	-1.855566115788	-1.4546236133686	-9999	11.290608970358	10.275367576564	1.6563738545987
9856	 Cyp1b1 	AK016699 	0	1.2023474869709	-1.3848508438997	1.1517891948097	-9999	-1.1991071704717	1.8170463264873	4.0567010082403	-9999	1.4186622091771	1.6052364031677	1.3903431451349	-9999	2.8311103664994	1.4711603110658	1.650053402526
1378	 Cyp20a1 	NM_030013 	0	-1.0215189635892	-1.1311826448107	1.1555245229571	-9999	1.2372064249224	-1.7945097955845	-1.8961680883982	-9999	-1.3564713745578	-1.5253536068844	-1.004323057234	-9999	1.1661036820496	1.2034891150823	-1.1355371140644
41711	 Cyp21a1 	NM_009995 	0	-1.0732189521204	1.2052903145139	-1.1230609673195	-9999	-1.2691248075428	-1.2149665837554	-1.6220354191402	-9999	-1.0189698484722	-1.5532531152985	-1.5033663782866	-9999	-1.2928505762263	-1.1508966696133	-1.2866349173662
21854	 Cyp24a1 	NM_009996 	0	-1.1852541010178	1.3233744126422	-1.1165322368476	-9999	1.0110206668277	1.8377597407395	-1.0698504327081	-9999	-2.4507909427581	-1.2136631523659	1.3056258297695	-9999	-1.1165322368476	-1.5083435366974	1.0155713329745
29221	 Cyp26a1 	NM_007811 	0	1.3402845150289	1.1040277763734	-1.479711332835	-9999	-1.4177315363017	-1.0007163604276	-1.0705155990215	-9999	-1.2907644629677	4.5376918494004	5.4828958960986	-9999	1.7074342939046	1.3152581452021	5.0342432913948
3514	 Cyp26b1 	NM_175475 	0	-1.9198236321302	-1.2661359302936	2.4307576804668	-9999	-1.7836692831792	-1.3150441490511	-2.5383314652474	-9999	1.2190869061542	3.7865157417676	-1.0950837470758	-9999	-3.0748811443681	-1.0132073540784	5.1729641264392
10618	 Cyp27a1 	NM_024264 	0	-1.0912233070015	1.211759872376	-1.1104600356326	-9999	-2.1856843032058	-1.4374171869406	-1.3437192328625	-9999	-3.3077786013125	1.6754657973978	-1.93154768097	-9999	-1.7702126232068	-1.9947635936765	1.1696598074215
3021	 Cyp27b1 	AB006034 	0	-1.320335093544	-1.1724725038074	1.5480565929924	-9999	-1.5969027422129	-1.5163248998679	-1.3271590309494	-9999	-1.8636019948915	-1.606652916279	-1.567519913238	-9999	-2.2270048695856	1.2871342100242	-1.2758952677874
5237	 Cyp27b1 	NM_010009 	0	-1.3595287623321	-1.0535241611156	1.4322963988485	-9999	-1.1014566263961	1.7405503864187	1.2830707366063	-9999	-1.3117932746053	-1.0810988366199	-1.0723817142792	-9999	-1.4346151076718	1.2617589674733	-1.0486880037243
36879	 Cyp2a12 	NM_133657 	0	-1.0589051650175	1.0267368122381	1.0313306705243	-9999	-1.1773588879535	-1.1301963897341	-1.1472629977385	-9999	-1.2869307162369	1.2466218461863	-1.7403767252498	-9999	-1.4511866238262	-1.1326543745575	-1.0978314465665
22754	 Cyp2a4 	NM_009997 	0	-1.4043779434294	1.3215481771555	1.0626763123023	-9999	2.550004812162	1.2311869399885	2.4634173734742	-9999	1.9299497435456	1.1831859393891	1.7113545742237	-9999	1.5764710505086	1.8285548831546	2.2099171894376
29648	 Cyp2a4 	NM_009997 	0	-1.3518380511206	1.5460136830322	-1.1436382351796	-9999	1.1868043605588	-1.5711826208903	1.1080933111668	-9999	-1.2096693216355	-1.334721532047	-1.4735764311581	-9999	-1.6872547780317	-1.3098171323023	-1.0332553595469
17106	 Cyp2a5 	NM_007812 	0	-1.4691134450359	1.3660313508863	1.0754610017425	-9999	1.9660414357623	1.3452334775953	3.0925160812854	-9999	1.8813936187553	-1.1934530352657	1.6970813728218	-9999	1.3884545456716	1.6607668470006	2.4756917342816
40976	 Cyp2a5 	NM_007812 	0	-1.4070472012747	1.4448851691594	-1.0268917544844	-9999	1.9492134674441	-1.1068497381706	1.7998931881212	-9999	1.3931642879769	-1.4153689589087	1.2276069354218	-9999	1.1109137274437	1.3129081169709	1.6411974493205
16669	 Cyp2b10 	NM_009999 	0	-1.0566577272231	-1.1789525695269	1.2457493426201	-9999	10.699972627137	4.845277628753	19.074214695937	-9999	-1.2089054440329	3.2183217972344	1.1136960175259	-9999	-4.1246806883516	1.8668854316147	3.0225059652833
20284	 Cyp2b10 	NM_009998 	0	-1.0087951834355	-1.1787779407106	1.1891455089288	-9999	7.599062211883	3.0065954784424	10.979864990014	-9999	-1.1130380211543	3.9911817032304	-1.1144946806872	-9999	-1.4297726986347	1.9562348881818	3.1598174999024
15275	 Cyp2b13 	NM_007813 	0	1.2469852984928	1.0031002377207	-1.2508512493524	-9999	9.8472719824369	3.9408448154086	11.593219891995	-9999	1.0251663283863	5.3484794726856	-1.2943915426523	-9999	-3.3774246339034	1.2973296186007	2.7511250627737
19157	 Cyp2b13 	NM_007813 	0	1.6081874426973	1.1510300625647	-1.8510720927835	-9999	1.638538561901	1.9061921058686	-1.690765328106	-9999	1.4268445694625	19.300371417035	1.8456811070252	-9999	-1.0318898326998	1.9043495457675	6.0272563983565
