	"TE A1 Corn Oil 10 ml/kg 48hrs"	"TE A3 Corn Oil 10ml/kg 48hrs"	"TE B1 TCDD 10ug/kg 48hrs"	"TE B2 TCDD 10ug/kg 48hrs"	"TE A2 Corn Oil 10 ml/kg 48hrs    "	"TE B3 TCDD 10ug/kg 48hrs"
220_Cyp2b9	-1.18243	-1.15863	-1.52733	-0.688004	-1.08881	-0.234284
279_Cd207	-0.78944	-0.648409	-0.581797	-0.471414	-0.449161	-0.272582
898_Cyp1a2	0.388024	0.424076	0.779299	0.720692	0.290126	1.01716
2263_Cnih2	-0.0810448	0.103479	0.909133	0.961476	0.198599	0.5126
2306_A_52_P1156957	-1.73683	-1.17035	-1.2059	-0.853842	-1.09433	-0.27184
2837_Plin4	-0.806973	-0.523938	-0.823819	-0.353036	-0.416735	-0.034734
3326_Vapb	-0.343271	-0.815332	-0.390792	-0.472222	-0.169212	-0.691547
3342_Ahrr	-0.36757	-0.169984	1.1244	0.702862	-0.205054	0.135031
3514_Cyp26b1	-0.941743	-0.760962	-1.14631	-0.66418	-0.27274	0.0552578
3771_Cyp1b1	0.164153	0.380374	1.25519	1.21427	0.0628909	0.421631
4277_A930004D18Rik	-0.304113	-0.153153	0.586562	0.828332	0.150957	0.830901
4436_Dirc2	-0.386596	-0.87735	0.0268002	-0.136932	-0.129263	-0.327493
7650_A_52_P471947	-0.81201	-0.684919	-0.438648	-0.344724	-0.361457	-0.242517
7827_6030422H21Rik	-1.04368	-0.787418	-0.675048	-0.466681	-0.806191	-0.219494
8055_Xist	-2.74734	-2.79407	-3.07574	-2.29154	-2.01679	-0.99775
8168_A_51_P290904	-0.554781	-0.821174	-0.627119	-0.51751	-0.31356	-0.0865135
9527_Acot3	-1.32494	-0.905357	-1.00217	-0.60846	-0.809563	-0.135752
10714_Gm7231	-1.17982	-0.887273	-0.857494	-0.796564	-0.720576	-0.26315
10788_Olfr1143	-0.78899	-0.65131	-0.668305	-0.33365	0.045831	0.0623523
11114_Ugt1a9	0.145251	0.251341	0.639797	0.830565	0.294335	0.74459
11396_C730007P19Rik	-2.52612	-2.29234	-2.16364	-1.54212	-2.18382	-0.708416
13684_Fabp12	0.070291	-0.157194	1.09855	0.74232	0.157114	0.221207
14002_Mt2	-0.749798	-0.920629	-1.0992	-0.907048	-0.914129	-0.774893
15203_A1bg	-1.4995	-1.54298	-1.63358	-0.913701	-1.62494	-0.34374
15275_Cyp2b13	-0.975143	-1.06966	-1.59959	-0.957954	-1.16821	-0.631494
15531_Fmo3	-2.36427	-2.19513	-0.662981	-0.580031	-2.31146	-0.646813
15776_Cyp3a11	-0.131398	0.0632245	-1.00082	-0.204367	-0.237845	-0.241525
16013_Tiam2	-0.890435	-0.535287	-0.44379	-0.380144	-0.394899	0.158162
16739_Mfsd2a	-1.14297	-0.385444	-0.800317	-0.315901	-0.840658	-0.200983
18441_Emr1	-0.64935	-0.61533	-0.349646	-0.808396	-0.513986	-0.259427
18663_Ctsm	-0.196571	-0.984532	0.0140184	-0.0655577	-0.0348982	-0.101002
18833_A_52_P1163917	0.318764	-0.983647	-0.112556	0.0431189	-0.350922	-0.19805
19003_A_52_P103319	-0.48266	-0.910215	0.0176713	0.0831626	-0.10033	0.0198278
19157_Cyp2b13	-1.41876	-1.56401	-1.63873	-1.34535	-1.89252	-0.844977
20089_Rgs16	-0.314909	0.621987	-1.12606	-1.18646	0.437487	-0.41169
20171_Serpinb1a	-0.673834	-0.674001	-1.05969	-0.64982	-0.491826	-0.211478
20284_A_51_P182362	-0.683105	-0.750734	-0.834569	-0.387881	-0.604067	-0.17964
20445_Olfr114	-0.154105	-0.168111	1.01044	0.836497	-0.0551661	0.831293
20968_Adamdec1	-0.985058	-0.481021	-0.0728078	-0.203825	-0.374259	0.0274969
21336_Cyp2b9	-1.36938	-1.45238	-1.7368	-1.18872	-1.62934	-1.02337
21337_Apob	0.0647863	-0.222987	-0.242262	-0.174505	-0.105795	-0.959369
21466_BC014805	-1.96044	-1.84214	-1.44042	-1.04706	-1.71154	-0.786067
21803_Fgf21	0.780992	0.357465	-0.356991	0.369765	0.93324	-0.400829
21804_Mafb	-0.794032	-0.111359	-0.1704	-0.0864946	-0.356559	0.222916
22754_Cyp2a4	-0.892361	-0.623794	-0.547191	-0.482769	-0.718476	-0.400501
22904_Acnat2	-0.790657	-0.712478	-0.814076	-0.570835	-0.6854	-0.269857
23794_A_51_P299527	-1.1924	-1.16981	-1.25821	-0.659304	-1.03373	-0.34313
24454_Cyp3a16	0.00140105	-0.0338216	-1.14935	-0.27216	-0.040225	-0.229647
24757_Ccrn4l	-0.918327	-0.239191	-0.366714	-0.184448	-0.695656	-0.00887625
25432_Fgf21	0.948931	0.632617	0.092862	0.251036	1.07275	-0.0212989
25563_Fhit	0.175799	0.172851	1.03542	0.912568	0.316153	0.620608
26864_Pde4dip	0.208625	-0.141052	-0.0043928	-0.174237	-0.817877	-0.123343
27466_Apob	0.0403382	-0.238033	-0.281562	-0.196299	-0.0495944	-0.84405
27478_Cyp4a10	-0.575883	-0.446523	-1.18019	-0.880501	-0.378058	-0.357793
28351_Cyp4a14	-1.03605	-0.579912	-2.00728	-1.47683	-0.609912	-0.725726
28764_Cyfip2	0.300911	0.223595	1.13058	0.893245	-0.00786962	0.0261503
28820_A_52_P327146	-0.797912	-0.434687	-0.33769	-0.231169	-0.72595	0.0936675
28925_Dido1	-0.911823	-0.402549	-0.350481	-0.292296	-0.457931	0.0406296
29221_Cyp26a1	-0.669429	-0.753646	-0.564282	-0.677615	-0.966803	-0.0946918
30210_Tmem86b	0.372964	0.325803	0.643843	0.832668	0.504009	0.772713
30425_Mbip	-0.173633	-0.175217	-0.0907292	0.0674392	-1.69107	-0.201662
30718_A_52_P55258	-0.664399	-0.876347	-0.753912	-0.45688	-0.615019	-0.19634
32759_Srrm4	-0.780176	-0.918626	-0.686986	-0.482438	-0.413622	-0.341845
33058_1810011O10Rik	-0.82195	-0.625263	-0.577213	-0.326101	-0.352624	-0.172948
