	"TE A1 Corn Oil 10 ml/kg 48hrs"	"TE A3 Corn Oil 10ml/kg 48hrs"	"TE E1 Aroclor 1260 200mg/kg"	"TE E3 Aroclor 1260 200mg/kg"	"TE C2 Wy-14643 50mg/kg 48hrs"	"TE C1 Wy-14643 50mg/kg 48hrs"	"TE C3 Wy-14643 50mg/kg 48hrs"	"TE B1 TCDD 10ug/kg 48hrs"	"TE B2 TCDD 10ug/kg 48hrs"	"TE D1 PBDE 2mg/kg 48hrs"	"TE D3 PBDE 2mg/kg 48hrs"	"TE A2 Corn Oil 10 ml/kg 48hrs    "	"TE B3 TCDD 10ug/kg 48hrs"	"TE E2 Aroclor 1260 200mg/kg 48hrs"	"TE D2 PBDE 2mg/kg 48hrs "
16_Hvcn1	0.108642	0.137066	0.234539	-0.193874	0.0793866	-0.0206084	0.116165	-0.00242389	0.144108	-0.00732133	-0.00886826	-0.161264	-0.0810557	0.0375745	-1.18812
22_Ptdss2	-0.063206	0.0246342	0.00346952	0.0509717	-0.155169	-0.0600178	0.235135	-0.0307773	-0.0784407	-0.277078	-0.0741536	-0.148346	0.0668449	-0.0882825	-1.05839
127_2810403D21Rik	-0.0877748	0.247713	0.664469	0.225928	0.216037	-0.0161377	0.86305	0.342311	0.382629	0.274617	0.256731	0.317462	0.027828	0.159267	0.202031
181_Megf11	-0.131031	-0.17355	-0.0951661	0.106436	-0.124257	-0.156047	-0.0844448	-0.246232	-0.0966403	-0.14992	-0.0307758	-0.43425	-0.127214	0.0702771	-0.996176
183_Srp9	-0.49354	-0.122964	0.199022	0.120898	0.194799	0.0263015	-0.041599	-0.0709893	0.0448355	-0.246619	-0.233684	-0.276529	0.0750263	-0.0219439	-1.20324
220_Cyp2b9	-1.18243	-1.15863	-0.377249	-0.57587	-1.22578	-0.113222	-0.861841	-1.52733	-0.688004	-1.5665	-0.399831	-1.08881	-0.234284	-0.0614767	-1.57378
265_Dscaml1	-0.115846	-0.357285	-0.355112	0.0654527	-0.309579	-0.21432	-0.339797	-0.298444	-0.314994	-0.273613	-0.0893402	-0.229953	-0.0612116	0.0338414	-0.93674
267_Lepre1	0.0727846	0.0391457	0.0492437	-0.0328613	0.00153546	0.0106927	0.0307111	-0.0373004	0.118464	-0.203222	0.00028398100000001	0.081533	0.0513877	-0.130077	-1.10698
273_7030407O06Rik	-0.643737	-0.487485	-0.284497	-0.24389	-0.154889	-0.212493	-0.510595	-0.414273	-0.255963	-0.270029	-0.434382	-0.529042	-0.114737	-0.185193	-0.826483
274_Esr1	-0.33411	-0.545025	0.116951	-0.227967	-0.29505	0.04454	-0.215037	-0.0736329	0.0879985	-0.0598162	-0.30865	-0.227945	0.100141	-0.376419	-0.895451
279_Cd207	-0.78944	-0.648409	-0.500239	-0.401356	-0.73021	-0.220631	-0.432896	-0.581797	-0.471414	-0.568907	-0.461986	-0.449161	-0.272582	-0.199033	-0.859499
282_Syn1	-0.300579	-0.450097	-0.408556	0.00217713	-0.478037	-0.458107	-0.372392	-0.511552	-0.438895	-1.00423	-0.165806	-0.211839	0.0190465	-0.22957	-0.299642
355_Ptchd1	-0.264067	0	0.706344	-0.260194	0.276153	0.0211506	0.10251	0.205902	0.552934	0.0757145	-0.0350587	0.0632057	0.0290426	-0.0693288	-0.981995
357_Ntrk2	-1.00181	-0.448277	0.0883459	-0.155424	-0.43274	0.0251918	0.165678	-0.750145	0.109649	-0.0767829	0.132161	-0.511745	-0.0379259	-0.470543	-1.0273
359_A_51_P345577	0.11498	0.108609	0.0983233	-0.0103629	0.153592	-0.0887566	0.0204829	0.103279	0.0852843	-0.0247109	-0.0131789	-0.12609	-0.0965502	0.0469281	-0.927354
434_Tmem191c	-0.333258	-0.136956	0.0950079	0.025863	-0.0379914	-0.0524217	-0.0552707	-0.0728602	-0.00010210500000003	0.122971	-0.0633032	-0.130577	-0.128184	0.111475	-0.940314
