	"983-2 (replicate)"	"983-1"	"V + X12"	"P2 + X12"	"P2 + X24"	"NE + X24"
134_BF550822	-0.191984	-0.162674	0.0394851	-0.800588	-0.732977	0.0373347
374_Spry1_predicted	0.898288	-0.182217	0.0155734	0.495231	0.22096	0.0426969
441_XM_341175	0.40812	-0.0171113	-0.318079	-0.583993	-0.724695	-0.101598
465_Dtnbp1	-0.371876	-0.175331	-0.309234	0.787479	-0.050431	-0.141954
530_LOC689670	-0.402506	-0.17979	-0.318523	0.86531	-0.0516829	-0.107124
543_Alpl	-0.834258	-1.0737	0.107783	-0.21338	-0.159999	-0.210389
544_ENSRNOT00000012428	1.25266	0.298516	0.00266672	-0.156643	-0.0878578	-0.0614208
551_Ubd	0.0666576	0.860293	-0.0763271	0.785148	0.316558	-0.417224
561_Timp1	0.449771	0.520815	0.0506665	-0.113529	-0.159923	0.81467
569_TC556784	0.193686	0.22701	0.191088	0.55273	1.41117	-0.00140616
751_Cyp2e1	-0.0624592	-0.500414	-0.0520047	-0.476039	-0.188384	-0.990387
858_M16829	0.215909	0.136107	-0.302891	-0.792588	-0.767497	-0.0170999
899_Il1f5_predicted	0.0749095	0.0875343	-0.27251	-0.634154	-0.738977	0.00085169799999996
966_Gal	-0.0095668800000001	-0.0736486	0.131708	0.712887	0.653481	0.0113551
1004_Cklf	0.238626	-0.025043	0.0482822	-0.592994	-0.787083	0.185911
1112_Tbc1d12_predicted	0.217375	0.0243309	-0.285385	-0.711829	-0.575235	-0.0476953
1115_LOC691487	0.516582	0.508406	0.743523	0.275616	0.100501	0.503626
1464_Trpv2	0.227502	0.0416662	-0.0425503	-0.69605	-0.725124	0.0995459
1570_Rhoa	-0.349499	-0.00637243	-0.845963	-0.229291	-0.132469	-0.0567287
1572_Apobec1	0.746304	0.0210192	0.147123	-0.42	-0.437417	0.398069
1704_RGD1562186_predicted	-0.243228	-0.042559	-0.322998	-1.60125	-1.73372	0.308055
1732_AI013214	-0.413586	-0.176322	-0.38935	0.71803	-0.0700932	-0.125033
1772_Kntc2_predicted	-0.168076	-0.725624	-0.1701	-0.0403762	0.141926	0.0318866
1903_Gap43	-0.22456	-0.498817	-0.0919957	-0.327214	-0.811856	0.0487049
1937_Adm	0.0751618	0.217543	0.0106181	0.741269	0.591142	-0.0755158
1986_TC561929	-0.414999	-0.173332	-0.346031	0.838177	-0.0885354	-0.140816
2000_RGD1563577_predicted	0.160171	0.00906667	-0.19975	-0.850579	-0.638892	-0.28501
2107_Ube2c_predicted	-0.192085	-0.803002	-0.480841	-0.344779	-0.33387	-0.106237
2142_LOC686579	-0.0530694	-0.0169668	0.0178171	0.567025	0.7811	-0.0393065
2159_A_44_P654629	-0.357281	-0.151077	-0.33506	0.855751	-0.0866294	-0.186797
2177_Krt2-7	-0.792719	-0.820083	-0.258522	-0.0955579	0.0095084	-0.518272
2198_Tf	-0.534385	-0.885518	0.0490429	-0.0645263	0.0826532	-0.083631
2257_LOC682651	-0.176899	-0.129533	0.283769	0.924716	0.803488	0.456973
2264_Slc5a5	0.274257	0.716116	-0.431656	-0.954862	-0.790018	0.0521001
2315_RGD1311975	-0.108269	-0.151547	-0.0484335	0.793922	0.393558	0.300406
2335_RGD1560183_predicted	0.00622823	0.0875677	-0.0906243	-0.915046	-0.583475	-0.0600358
2374_Bnc2_predicted	-0.393595	-0.193571	-0.328376	0.769584	-0.0631561	-0.101117
2428_CB544348	0.0669249	-0.16147	0.327495	0.405432	0.854668	-0.072304
2540_Mcsp	-0.412413	-0.190789	-0.309379	0.791849	-0.0561113	-0.104767
2582_Svop	-0.417289	-0.169438	-0.33288	0.811382	-0.0761447	-0.130623
2583_Spp1	0.0123747	0.330263	0.563118	0.694738	0.664013	1.19934
2668_Spp1	0.029267	0.338277	0.556389	0.722456	0.662719	1.19908
2680_Serpinb13_predicted	0.137314	0.155488	-0.342818	-0.741904	-0.977502	-0.223788
2709_Csf1r	-0.42589	-0.180447	-0.3276	0.721643	-0.0437213	-0.0984204
2745_Cma1	-0.439455	-0.709645	-0.570244	-0.142812	-0.274028	-0.333386
2753_Il1f8_predicted	0.16429	0.0771835	-0.271369	-0.932012	-1.29656	-0.226625
2766_TC566845	-0.106515	-0.120773	0.0160198	1.27285	1.22418	-0.175828
2788_RGD1308559_predicted	-0.395752	-0.172934	-0.331144	0.753081	-0.0513747	-0.118774
2822_RGD1562408_predicted	0.728558	0.363289	-0.206379	-0.768178	-1.02187	-0.390866
2869_AF473849	-0.46387	-0.184156	-0.358704	0.735755	-0.00676573	-0.0893299
2964_BF282856	-0.433333	-0.203898	-0.358345	0.722286	-0.0320263	-0.0990838
2976_Gap43	-0.219434	-0.510973	-0.109612	-0.333491	-0.819098	0.0542362
3085_BF286556	-0.405233	-0.171609	-0.34492	0.819182	-0.0847909	-0.13501
3118_MGC72614	0.0825061	0.0220975	-0.0295535	-0.727255	-0.547495	0.0978743
3151_Ccl2	0.739122	0.973111	0.232169	-0.754105	-0.626158	-0.0850826
3165_Slc17a6	-0.261601	-0.379908	-0.0171527	0.705735	0.222938	0.098665
3167_AI059920	-0.417907	-0.164794	-0.349361	0.783033	-0.0415463	-0.128763
3214_LOC171161	-1.75645	-1.8421	-0.033185	-0.278643	-0.412002	-0.269162
3291_CF110144	-0.20692	-0.23488	-0.184523	-0.707218	-0.608817	-0.0361864
3326_Fkbp5	0.217042	0.199769	0.523497	0.837149	0.867148	0.0502181
3390_TC562387	-0.0218252	-0.158509	-0.247755	-0.473989	-0.792498	-0.0680975
3409_Ttk_predicted	-0.210159	-1.10838	-0.421869	-0.861432	-0.759144	0.0413353
3424_Mt1a	-0.0668946	0.108113	0.417703	1.12825	1.06271	0.535243
3461_Timp1	0.442019	0.529738	0.0553102	-0.117351	-0.156174	0.805802
3560_TC528997	-0.112104	-0.117496	-0.156585	-0.573842	-0.826946	-0.0952376
3582_Spp1	0.0443826	0.368164	0.521287	0.700832	0.658088	1.20755
3608_RGD1559807_predicted	-0.0085769499999999	0.155245	0.276674	0.288477	0.719716	0.0119319
3701_Timp1	0.449274	0.531184	0.0482454	-0.108079	-0.1568	0.7813
3751_TC558548	0.247737	0.262755	0.0570413	-0.774664	-0.531798	-0.0374314
3763_Zfp358_predicted	-0.317415	-0.159033	-0.244811	0.792974	-0.0532785	-0.114292
3798_Itgb7	0.409134	0.186312	-0.322938	-0.740704	-0.824022	-0.0826434
3847_Stfa3_predicted	-0.00751108	-0.237119	-0.537697	-1.17607	-1.31951	0.00668019
3861_Slc22a12	-0.176355	-0.1993	0.0468616	0.699706	0.286073	0.0875641
3894_CO396111	0.595785	0.449088	0.861478	0.188341	0.0660382	0.65615
3980_Slc17a6	-0.188766	-0.453314	-0.00767253	0.721102	0.168843	0.0365736
4010_BG668902	0.0652582	-0.162831	-0.559141	-0.389496	-0.922203	-0.387108
4056_Ptgds2	-0.0531781	-0.422996	-0.186251	-0.831144	-0.966735	0.146558
4113_Rhoa	-0.347418	0.00819729	-0.83399	-0.227827	-0.134336	-0.0556231
4137_Ka24	0.16343	0.0989323	0.404715	-0.712274	-1.19814	-0.127581
4211_Nr4a3	-0.00391644	0.370441	-0.597873	0.442682	-0.417763	-1.2084
4237_Bbc3	0.262957	0.4595	0.706927	0.644842	0.691949	0.591227
4243_Gal	-0.0406873	-0.182115	0.134338	0.738295	0.606447	0.0195091
4248_Pla2g3_predicted	-0.359256	-0.169715	-0.326913	0.752021	-0.0473545	-0.104839
4251_Plk1	-0.371183	-0.900088	-0.509149	-0.461084	-0.376369	-0.0665226
4294_Il2rg	-0.319774	-0.188561	-0.308639	0.762337	-0.0399153	-0.100928
4302_Col2a1	-0.387572	-0.240814	-0.330063	0.746526	-0.0211541	-0.0975227
4407_Slc17a6	-0.324847	-0.547236	0.0297829	0.712806	0.211998	0.0828479
4496_TC542387	-0.14079	-1.00281	1.083	1.16138	1.19423	0.944483
4562_XM_344059	-0.402653	-0.186349	-0.326566	0.867382	-0.0256146	-0.117708
4639_XM_228818	-0.0427341	0.0437267	0.158474	0.595708	0.72649	0.0202659
4648_RGD1561642_predicted	0.171899	0.755094	0	0.29689	0.13032	0.114568
4654_TC541627	-0.137747	-0.166131	0.0309678	-0.941125	-0.502766	0.0141485
4659_Sele	0.410431	0.439465	-0.0733306	-1.00788	-1.165	-0.146603
4733_BQ206852	0.0162546	0.932722	0.0660675	-0.0901606	-0.0925695	-0.10347
4831_TC563191	-0.378122	-0.153179	-0.332417	0.812354	-0.0534985	-0.115016
4842_Gcat	0.0276378	0.0364089	-0.171221	-0.717083	-0.656428	-0.00412534
4923_XM_342961	-0.295313	-0.144261	-0.313134	0.742378	-0.0265687	-0.0944702
4930_Cdkn1c	0.486182	0.73627	0.159067	0.293528	0.167292	0.290528
4986_Cfi	-0.993612	-1.07552	0.137126	0.0466726	0.0942416	0.521421
5040_Adm	0.0940586	0.222401	0.0060494	0.750226	0.584356	-0.0762924
